Priority,Done,Module,Entity,Type,Full_Name,Source
,,sage.calculus.calculus,dummy_inverse_laplace,function,sage.calculus.calculus.dummy_inverse_laplace,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2104
,,sage.calculus.calculus,dummy_laplace,function,sage.calculus.calculus.dummy_laplace,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2088
,,sage.calculus.calculus,dummy_pochhammer,function,sage.calculus.calculus.dummy_pochhammer,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2120
,,sage.calculus.calculus,inverse_laplace,function,sage.calculus.calculus.inverse_laplace,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1779
,,sage.calculus.calculus,laplace,function,sage.calculus.calculus.laplace,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1537
,,sage.calculus.calculus,lim,function,sage.calculus.calculus.lim,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1159
,,sage.calculus.calculus,limit,function,sage.calculus.calculus.limit,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1159
,,sage.calculus.calculus,mapped_opts,function,sage.calculus.calculus.mapped_opts,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2427
,,sage.calculus.calculus,maxima_options,function,sage.calculus.calculus.maxima_options,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2455
,,sage.calculus.calculus,minpoly,function,sage.calculus.calculus.minpoly,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L936
,,sage.calculus.calculus,mma_free_limit,function,sage.calculus.calculus.mma_free_limit,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1488
,,sage.calculus.calculus,nintegral,function,sage.calculus.calculus.nintegral,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L683
,,sage.calculus.calculus,nintegrate,function,sage.calculus.calculus.nintegrate,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L683
,,sage.calculus.calculus,symbolic_expression_from_maxima_string,function,sage.calculus.calculus.symbolic_expression_from_maxima_string,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2236
,,sage.calculus.calculus,symbolic_expression_from_string,function,sage.calculus.calculus.symbolic_expression_from_string,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2564
,,sage.calculus.calculus,symbolic_product,function,sage.calculus.calculus.symbolic_product,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L828
,,sage.calculus.calculus,symbolic_sum,function,sage.calculus.calculus.symbolic_sum,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L445
,,sage.calculus.desolvers,desolve,function,sage.calculus.desolvers.desolve,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L179
,,sage.calculus.desolvers,desolve_laplace,function,sage.calculus.desolvers.desolve_laplace,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L661
,,sage.calculus.desolvers,desolve_mintides,function,sage.calculus.desolvers.desolve_mintides,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1684
,,sage.calculus.desolvers,desolve_odeint,function,sage.calculus.desolvers.desolve_odeint,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1486
