part,status,full_name,module,entity_name,type,bases,source
01,Implemented,sage.arith.srange.xsrange,sage.arith.srange,xsrange,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L30
01,Implemented,sage.calculus,sage.calculus,calculus,module,,
01,Implemented,sage.calculus.calculus,sage.calculus.calculus,calculus,module,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1964
01,Implemented,sage.calculus.calculus.at,sage.calculus.calculus,at,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1964
01,Implemented,sage.calculus.calculus.dummy_diff,sage.calculus.calculus,dummy_diff,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2042
01,Implemented,sage.calculus.calculus.dummy_integrate,sage.calculus.calculus,dummy_integrate,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2067
01,Implemented,sage.calculus.calculus.dummy_inverse_laplace,sage.calculus.calculus,dummy_inverse_laplace,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2104
01,Implemented,sage.calculus.calculus.dummy_laplace,sage.calculus.calculus,dummy_laplace,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2088
01,Implemented,sage.calculus.calculus.dummy_pochhammer,sage.calculus.calculus,dummy_pochhammer,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2120
01,Implemented,sage.calculus.calculus.inverse_laplace,sage.calculus.calculus,inverse_laplace,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1779
01,Implemented,sage.calculus.calculus.laplace,sage.calculus.calculus,laplace,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1537
01,Implemented,sage.calculus.calculus.lim,sage.calculus.calculus,lim,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1159
01,Implemented,sage.calculus.calculus.limit,sage.calculus.calculus,limit,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1159
01,Implemented,sage.calculus.calculus.mapped_opts,sage.calculus.calculus,mapped_opts,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2427
01,Implemented,sage.calculus.calculus.maxima_options,sage.calculus.calculus,maxima_options,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2455
01,Implemented,sage.calculus.calculus.minpoly,sage.calculus.calculus,minpoly,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L936
01,Implemented,sage.calculus.calculus.mma_free_limit,sage.calculus.calculus,mma_free_limit,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1488
01,Implemented,sage.calculus.calculus.nintegral,sage.calculus.calculus,nintegral,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L683
01,Implemented,sage.calculus.calculus.nintegrate,sage.calculus.calculus,nintegrate,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L683
01,Implemented,sage.calculus.calculus.symbolic_expression_from_maxima_string,sage.calculus.calculus,symbolic_expression_from_maxima_string,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2236
01,Implemented,sage.calculus.calculus.symbolic_expression_from_string,sage.calculus.calculus,symbolic_expression_from_string,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2564
01,Implemented,sage.calculus.calculus.symbolic_product,sage.calculus.calculus,symbolic_product,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L828
01,Implemented,sage.calculus.calculus.symbolic_sum,sage.calculus.calculus,symbolic_sum,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L445
01,Implemented,sage.calculus.desolvers,sage.calculus.desolvers,desolvers,module,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L179
01,Implemented,sage.calculus.desolvers.desolve,sage.calculus.desolvers,desolve,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L179
01,Implemented,sage.calculus.desolvers.desolve_laplace,sage.calculus.desolvers,desolve_laplace,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L661
01,Implemented,sage.calculus.desolvers.desolve_mintides,sage.calculus.desolvers,desolve_mintides,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1684
01,Implemented,sage.calculus.desolvers.desolve_odeint,sage.calculus.desolvers,desolve_odeint,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1486
01,Implemented,sage.calculus.desolvers.desolve_rk4,sage.calculus.desolvers,desolve_rk4,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1228
01,Implemented,sage.calculus.desolvers.desolve_rk4_determine_bounds,sage.calculus.desolvers,desolve_rk4_determine_bounds,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L1184
01,Implemented,sage.calculus.desolvers.desolve_system,sage.calculus.desolvers,desolve_system,function,,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/desolvers.py#L789
